Accession	Length	Identities	Num Mismatches	Percentage of length that is mismatches.
QNH29450.1	512	397/511	114	22.2656
AAF77413.1	512	397/511	114	22.2656
WKU83846.1	510	397/510	113	22.1569
YP_010397552.1	511	401/510	109	21.3307
QGR23956.1	511	400/510	110	21.5264
YP_010865878.1	511	409/510	101	19.7652
QXG19591.1	510	398/510	112	21.9608
UIX24998.1	511	395/510	115	22.5049
NP_987108.2	511	396/511	115	22.5049
WDA93933.1	511	401/510	109	21.3307
QNE85376.1	510	399/510	111	21.7647
QGR23969.1	511	399/510	111	21.7221
QXG19396.1	510	398/510	112	21.9608
QXG19214.1	510	396/510	114	22.3529
YP_002327403.1	511	398/510	112	21.9178
ASM82814.1	511	410/510	100	19.5695
QXG19006.1	510	400/510	110	21.5686
QNH29323.1	512	396/511	115	22.4609
AHG53454.1	511	396/510	114	22.3092
AFK73679.1	512	399/511	112	21.875
WKU84103.1	510	397/510	113	22.1569
AAF77296.1	512	398/511	113	22.0703
QXG19370.1	510	399/510	111	21.7647
AFC97648.1	511	397/511	114	22.3092
AEI70449.1	512	397/511	114	22.2656
YP_010261373.1	511	399/510	111	21.7221
ACF40685.1	512	396/511	115	22.4609
UFY98536.1	511	397/510	113	22.1135
QNH29400.1	512	396/511	115	22.4609
BAO24768.1	511	399/510	111	21.7221
ADW41391.1	511	397/510	113	22.1135
AEY80461.1	512	397/511	114	22.2656
QXG19565.1	510	397/510	113	22.1569
QNE85415.1	511	399/510	111	21.7221
QXG19318.1	510	398/510	112	21.9608
AGB06402.1	512	397/511	114	22.2656
YP_009378999.1	511	397/510	113	22.1135
AEL13686.1	512	398/511	113	22.0703
YP_010895029.1	510	401/510	109	21.3725
AMH85358.1	511	398/510	112	21.9178
UDD74603.1	511	400/510	110	21.5264
BAO24764.1	511	396/510	114	22.3092
AGB06398.1	512	398/511	113	22.0703
AEI70441.1	512	396/511	115	22.4609
AEL13688.1	512	398/511	113	22.0703
AEI70451.1	512	396/511	115	22.4609
ACE60558.1	512	397/511	114	22.2656
QXG19643.1	510	397/510	113	22.1569
AFK73648.1	512	400/511	111	21.6797
ACD54858.1	511	399/510	111	21.7221
WJW73919.1	511	401/510	109	21.3307
YP_010894938.1	510	396/510	114	22.3529
YP_009693798.1	511	410/510	100	19.5695
AFK73683.1	512	399/511	112	21.875
AEW48038.1	512	399/511	112	21.875
QVL28828.1	510	395/510	115	22.549
CAD83851.1	512	400/511	111	21.6797
NP_982323.2	511	398/511	113	22.1135
AMP43691.1	511	398/508	110	21.5264
BAO24769.1	511	396/510	114	22.3092
AEL13687.1	512	398/511	113	22.0703
AGB06399.1	512	397/511	114	22.2656
YP_009112201.1	509	397/509	112	22.0039
ADW41339.1	511	398/510	112	21.9178
YP_010895042.1	510	401/510	109	21.3725
YP_010414750.1	510	398/510	112	21.9608
QXG19045.1	510	397/510	113	22.1569
YP_010507384.1	510	396/510	114	22.3529
AEI70335.1	512	396/511	115	22.4609
YP_010564742.1	511	400/510	110	21.5264
UDD74616.1	511	400/510	110	21.5264
YP_010894951.1	510	396/510	114	22.3529
AEI70465.1	512	396/511	115	22.4609
UDP55633.1	511	397/510	113	22.1135
YP_010627175.1	510	394/510	116	22.7451
YP_010610968.1	510	395/510	115	22.549
QNH29389.1	512	398/511	113	22.0703
AEL13683.1	512	394/508	114	22.2656
AAA50472.1	512	400/511	111	21.6797
ABF93413.1	513	397/511	114	22.2222
QGR23982.1	511	399/510	111	21.7221
AEI70351.1	512	397/511	114	22.2656
YP_010713119.1	511	400/510	110	21.5264
ACJ68871.1	512	400/511	111	21.6797
AAA50470.1	512	400/511	111	21.6797
UYG48390.1	511	400/510	110	21.5264
YP_010865943.1	511	410/510	100	19.5695
YP_010239100.1	511	398/510	112	21.9178
AEI70331.1	512	397/511	114	22.2656
AFK73664.1	512	400/511	111	21.6797
YP_010447335.1	510	397/510	113	22.1569
ACD54882.1	511	397/510	113	22.1135
QNH29359.1	512	396/511	115	22.4609
AEY80460.1	512	395/511	116	22.6562
AFK73644.1	512	400/511	111	21.6797
YP_010713106.1	511	404/510	106	20.7436
YP_009159320.1	512	397/510	113	22.0703
YP_010691330.1	511	399/510	111	21.7221
ABE27835.1	512	400/511	111	21.6797
YP_010894899.1	510	397/510	113	22.1569
QNE85871.1	511	399/510	111	21.7221
AGB58351.1	512	399/511	112	21.875
YP_010564716.1	511	400/510	110	21.5264
